Hotel Names,Ratings,Number of Reviews,Prices,amenities,links,location,Description
19. Novotel Cairo El Borg,4 of 5 bubbles,"1,434 reviews","EGP 4,641","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Landmark view,City view,Hair dryer,Complimentary toiletries,Sofa bed,Flatscreen TV,Electric kettle,Minibar,Wake-up service / alarm clock,Private bathrooms,Laptop safe,Bottled water,Wardrobe / wardrobe,Telephone,Sofa,Seating area,Safe,Room service,Interconnected rooms available,Housekeeping,Bath / shower,Extra long beds,Cable / satellite TV,Coffee / tea maker,Desk,Air conditioning,Soundproof rooms,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,24-hour check-in,First aid kit,Doorperson,ATM on site,Outdoor fireplace,Non-smoking hotel,Gift shop,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Neck massage,Massage,Hand massage,Full body massage,Foot massage,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Highchairs available,Rooftop bar,Poolside bar,Snack bar,Outdoor dining area,Kids' meals,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Bar / lounge,Fitness / spa changing rooms,Outdoor pool,Wifi,Paid private parking nearby,Airport transportation,Children Activities (Kid / Family Friendly),Kids stay free,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d1200790-Reviews-Novotel_Cairo_El_Borg-Cairo_Cairo_Governorate.html,"3 Saraya El Gezira Street Zamalek, Cairo Egypt","Looking for a place to stay in Cairo? Then look no further than Novotel Cairo El Borg, a family-friendly hotel that brings the best of Cairo to your doorstep.Guest rooms offer a flat screen TV, air conditioning, and a minibar, and Novotel Cairo El Borg Hotel makes getting online easy as free wifi is available.You can also take advantage of some of the amenities offered by the hotel, including room service, a rooftop terrace, and a concierge. In addition, guests can enjoy a pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.For those interested in checking out popular landmarks while visiting Cairo, Novotel Cairo El Borg Hotel is located a short distance from Zamalek (Gezira Island) (0.0 mi) and Mosque of Al-Azhar (1.1 mi).While you’re here, be sure to check out some of the Italian restaurants, including Vivo Restaurant, Pane Vino Restaurant, and L'Uliveto Restaurant, all of which are a short distance from Novotel Cairo El Borg.Cairo is also home to Egyptian Geology Museum, a popular science museum that is not too far from Novotel Cairo El Borg Hotel.We’re sure you’ll enjoy your stay at Novotel Cairo El Borg as you experience everything Cairo has to offer."
"20. The St. Regis Almasa Hotel, Cairo",4.5 of 5 bubbles,113 reviews,"EGP 4,859","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Pool view,City view,Hair dryer,Bath / shower,Radio,Flatscreen TV,Kitchenware,Electric kettle,Stovetop,Refrigerator,Oven,Minibar,Microwave,Wake-up service / alarm clock,Private bathrooms,Clothes rack,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Separate living room,Separate dining area,Seating area,Safe,Room service,Private balcony,Housekeeping,Fireplace,Dining area,Walk-in shower,Cable / satellite TV,Kitchenette,Desk,Private beach,Air conditioning,Bathrobes,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Clothes dryer,Express check-in / check-out,24-hour front desk,24-hour check-in,Doorperson,ATM on site,Outdoor furniture,Outdoor fireplace,Executive lounge access,Currency exchange,Convenience store,Concierge,Baggage storage,BBQ facilities,24-hour security,Waxing services,Steam room,Salon,Neck massage,Massage chair,Massage,Manicure,Makeup services,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Facial treatments,Body wrap,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Car hire,Shuttle bus service,Airport transportation,Free airport transportation,Kids pool,Kids club,Children Activities (Kid / Family Friendly),Children's playground,Babysitting,Billiards,Tennis court,Poolside bar,Snack bar,Kids' meals,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Personal trainer,Fitness / spa changing rooms,Heated pool,Outdoor pool,Indoor pool,Pool / beach towels,Hot bath,Public wifi,Valet parking,Kids stay free,Game room,Bicycle rental,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Free parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d13540550-Reviews-The_St_Regis_Almasa_Hotel_Cairo-Cairo_Cairo_Governorate.html,"Cairo Suez Road New Administrative Capital, Cairo 29115 Egypt","Located in the heart of the new administrative capital, The St. Regis Almasa Hotel serves as a destination within a destination. It is the prestigious address perfectly situated to enhance the networks of state officials and the business elite as well as an exquisite escape for unparalleled family time. Here, quintessential luxury meets stately elegance. On the fast track to becoming Egypt’s epicenter of governance and commerce, the new administrative capital will play host to heads of state and their delegations, while acting as the seat of power for the country’s government. Featuring a vibrant new center of arts and culture, the capital will also attract artists and art lovers to enchanting and inspiring destinations like the stunning Grand Opera House. Also, not far off are one of the world’s most iconic ancient wonders - the pyramids."
"21. InterContinental Cairo Semiramis, an IHG Hotel",4.5 of 5 bubbles,"2,840 reviews","EGP 6,525EGP 5,632","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,Landmark view,City view,Hair dryer,Complimentary toiletries,Bath / shower,Radio,Flatscreen TV,Electric kettle,Refrigerator,Minibar,Wake-up service / alarm clock,Private bathrooms,Laptop safe,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Safe,Room service,Private balcony,Interconnected rooms available,Bidet,Cable / satellite TV,Coffee / tea maker,Housekeeping,Desk,Air conditioning,Bathrobes,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun terrace,Shops,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Light therapy,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Foot bath,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Highchairs available,Poolside bar,Wine / champagne,Outdoor dining area,Kids' meals,Kid-friendly buffet,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Personal trainer,Fitness classes,Fitness / spa changing rooms,Yoga classes,Outdoor pool,Pool with view,Pool / beach towels,Hot bath,Wifi,Paid private parking on-site,Babysitting,Kids stay free,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Corniche El Nil, Cairo 11511 Egypt","On the historic Semiramis hotel site, guests can enjoy modern luxury by the river Nile. Semiramis InterContinental Cairo is 23 KM from Cairo International airport with a premium location in the heart of the city center next to the Egyptian Museum and Khan el Khalili. The Hotel features a 26 sq m2 rooftop pool, fine dining with exquisite cuisine, conference facilities, a state of the art spa, a shopping arcade, and the Nile Terrace offering stunning views of the sunset over the Nile."
22. Concorde El Salam Hotel Cairo by Royal Tulip,4 of 5 bubbles,732 reviews,"EGP 2,909","Smoking rooms available,Suites,Non-smoking rooms,Pool view,City view,Flatscreen TV,Minibar,Safe,Room service,Private balcony,Air conditioning,Ironing service,Laundry service,Dry cleaning,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,Butler service,ATM on site,Sun terrace,Shops,Newspaper,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,BBQ facilities,24-hour security,Steam room,Massage,Hand massage,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Car hire,Shuttle bus service,Airport transportation,Free shuttle or taxi services,Free airport transportation,Kids pool,Poolside bar,Swimup bar,Wine / champagne,Special diet menus,Snack bar,Outdoor dining area,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness / spa changing rooms,Outdoor pool,Pool / beach towels,Wifi,Kids club,Children Activities (Kid / Family Friendly),Evening entertainment,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d301243-Reviews-Concorde_El_Salam_Hotel_Cairo_by_Royal_Tulip-Cairo_Cairo_Governorate.html,"69 Abdel Hamid Badawi Street, Heliopolis, Cairo 5614 Egypt","Located in the fashionable suburb of Heliopolis, 10 minutes from Cairo International airport, 10 minutes from the Cairo International Conference center and 25 minutes from the city center with courtesy hotel shuttle. Georgian style hotel of architecture boasting all leisure facilities including tennis courts, glazed squash courts, equestrian club & business center. 320 spacious rooms with 18 suites and 14 individual pool side rooms, Executive floor including business advantage rooms, Executive lounge and butler service. All rooms & public areas have broadband internet access with free WiFi technology, IP telephone with voice mail, data port. All rooms with 32-Inch LCD TV. 11 fully equipped meeting rooms accommodating up to 500 people. All rooms feature the latest audiovisual equipment, fax and computer facilities. Fitness & Health Club fully equipped with cardiovascular equipment for total body workouts. The Spa sauna, Jacuzzi , hammam and professional massage."
23. New Grand Royal Hotel Cairo,4 of 5 bubbles,377 reviews,EGP 802,"Smoking rooms available,Family rooms,Non-smoking rooms,Bath / shower,Flatscreen TV,Refrigerator,Wake-up service / alarm clock,Safe,Housekeeping,Air conditioning,Ironing service,Laundry service,Non-smoking hotel,Currency exchange,Car hire,Breakfast in the room,Coffee shop,Wifi,24-hour front desk,Concierge,Baggage storage,Salon,Airport transportation,Free breakfast,Free High Speed Internet (WiFi),Paid public parking on-site,",https://www.tripadvisor.in/Hotel_Review-g294201-d2708329-Reviews-New_Grand_Royal_Hotel_Cairo-Cairo_Cairo_Governorate.html,"1 Talaat Harb Square, Cairo 11511 Egypt","Hotel Grand Royal is located in Cairo City Centre. Rooms are decorated with white colours and wooden furniture. Free Wi-Fi is available in the entire hotel. The rooms are air-conditioned with wooden flooring. Facilities include TV and bathroom with a bathtub. Some rooms have a balcony overlooking the city. Fresh flowers are sent to the rooms every day. Guests can enjoy the wide variety of restaurants located outside the hotel. Choice of food ranges from Egyptian to western dishes. The restaurant at Grand Royal is also open to guests, and room service is available as well. Guests can take a walk by the Nile River or visit the Egyptian Museum, all within 15 minutes' walking distance. The hotel is within 20 minutes' drive to Pyramids of Giza. Cairo International Airport is located within 35 minutes' driving distance."
24. Oasis Hotel,4 of 5 bubbles,4 reviews,EGP 344,"Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,City view,Flatscreen TV,Kitchenware,Refrigerator,Wake-up service / alarm clock,Private bathrooms,Iron,Seating area,Room service,Bath / shower,Extra long beds,Cable / satellite TV,Coffee / tea maker,Housekeeping,Desk,Additional bathroom,Air conditioning,Ironing service,Washing machine,Laundry service,Dry cleaning,Clothes dryer,Private check-in / check-out,24-hour front desk,24-hour check-in,ATM on site,Shared kitchen,Shared bathroom,Taxi service,Breakfast in the room,Breakfast available,Restaurant,Coffee shop,Wifi,Street parking,Paid private parking nearby,24-hour security,Airport transportation,Pets Allowed ( Dog / Pet Friendly ),Children Activities (Kid / Family Friendly),Kids stay free,Free breakfast,Free High Speed Internet (WiFi),Free public parking nearby,",https://www.tripadvisor.in/Hotel_Review-g294201-d15518244-Reviews-Oasis_Hotel-Cairo_Cairo_Governorate.html,"11 Ramsis Street, Abdelmonem Riyadh Square 5th Floor downtown-Cairo, Cairo 11511 Egypt","Situated in Cairo, Cairo Governorate region, Oasis Downtown Hostel is set 1 km from Tahrir Square. Located around 1 km from The Egyptian Museum, the hostel is also 2.4 km away from Khan Al Khalili. The accommodation offers free WiFi. At the hostel, the rooms are equipped with a terrace. At Elwahaa Downtown Hostel, all rooms include air conditioning and a flat-screen TV. A continental breakfast is served each morning at the property. Speaking Arabic and German, staff are always on hand to help at the reception. Al-Azhar Mosque is 2.9 km from the accommodation. The nearest airport is Cairo International Airport, 19 km from Elwahaa Downtown Hostel."
25. Osiris Hotel,4.5 of 5 bubbles,502 reviews,EGP 797,"Family rooms,Non-smoking rooms,City view,Bottled water,Safe,Private balcony,Housekeeping,Air conditioning,Ironing service,Laundry service,Private check-in / check-out,Sun terrace,Concierge,Wifi,Express check-in / check-out,24-hour front desk,Baggage storage,Rooftop terrace,Airport transportation,Free breakfast,Free High Speed Internet (WiFi),Paid private parking on-site,",https://www.tripadvisor.in/Hotel_Review-g294201-d614748-Reviews-Osiris_Hotel-Cairo_Cairo_Governorate.html,"49 Nubar Bab el Louk, Cairo 11511 Egypt","The Hotel Osiris was recently built with a unique oriental inspired style, giving this place a special charm and cosy atmosphere, making you feel at home. Clean, quiet rooms, comfortable beds, air conditioning, internet cafe. Outstanding Top Roof terrace with a panoramic view of Cairo and delicious homemade Egyptian food. Managed by Josiane & Nabil, French & Egyptian, English speakers - the Hotel is strategically located in the heart of down town Cairo, by the metro & Egyptian Museum."
"InterContinental Citystars Cairo, an IHG Hotel",4.5 of 5 bubbles,"2,549 reviews","EGP 6,470","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Refrigerator,Iron,VIP room facilities,Safe,Room service,Private balcony,Flatscreen TV,Minibar,Interconnected rooms available,Housekeeping,Additional bathroom,Air conditioning,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,Doorperson,Butler service,ATM on site,Shops,Gift shop,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Kids club,Babysitting,Poolside bar,Swimup bar,Kid-friendly buffet,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Bar / lounge,Sauna,Fitness classes,Fitness / spa changing rooms,Heated pool,Outdoor pool,Hot bath,Wifi,Kids stay free,Nightclub / DJ,Casino and Gambling,Free breakfast,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d536381-Reviews-InterContinental_Citystars_Cairo_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Omar Ibn El Khattab Street Heliopolis, Cairo 11737 Egypt","Explore Cairo's heritage amidst modern luxuries and stay at the five-star InterContinental Citystars Cairo hotel in Cairo's Heliopolis, next to Stars Centre Mall. Relax in grand rooms with beautiful furnishings and views. Indulge at our 10 exquisite restaurants and bars. Need event space? Our private meeting rooms and Egypt's largest ballroom will satisfy your requirements. Our concierge gladly arranges private tours of the nearby Cairo Citadel, the Pyramids, and soon, The Grand Egyptian Museum."
26. Baron Hotel Cairo,4 of 5 bubbles,831 reviews,"EGP 2,416","Smoking rooms available,Suites,Non-smoking rooms,Bridal suite,Flatscreen TV,Minibar,VIP room facilities,Safe,Room service,Private balcony,Housekeeping,Air conditioning,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Shops,Newspaper,Gift shop,Currency exchange,Concierge,Baggage storage,24-hour security,Meeting rooms,Banquet room,Conference facilities,Car hire,Shuttle bus service,Special diet menus,Breakfast in the room,Breakfast buffet,Restaurant,Bar / lounge,Street parking,Business Centre with Internet Access,Airport transportation,Nightclub / DJ,Evening entertainment,Free breakfast,Hot bath,Wifi,Free parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d481920-Reviews-Baron_Hotel_Cairo-Cairo_Cairo_Governorate.html,"14 Al Baroon El-Montaza, Cairo 11511 Egypt",Hilltop Hotel located in business center of Heliopolis overlooking the famous Baron Empain Palace.
27. Paradise Boutique Hotel,4 of 5 bubbles,78 reviews,"EGP 1,353EGP 1,270","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,City view,Hair dryer,Complimentary toiletries,Electric kettle,Refrigerator,Microwave,Wake-up service / alarm clock,Private bathrooms,Clothes rack,Wardrobe / wardrobe,Telephone,Sofa,Room service,Private balcony,Bath / shower,Flatscreen TV,Kitchenette,Housekeeping,Desk,Air conditioning,Bathrobes,Allergy-free room,Ironing service,Laundry service,Private check-in / check-out,ATM on site,Shops,Shared lounge / TV area,Shared kitchen,Non-smoking hotel,Newspaper,Mosquito net,Gift shop,Car hire,Breakfast in the room,Wifi,Express check-in / check-out,24-hour front desk,Currency exchange,Baggage storage,Airport transportation,Children Activities (Kid / Family Friendly),Free breakfast,Free High Speed Internet (WiFi),",https://www.tripadvisor.in/Hotel_Review-g294201-d12062145-Reviews-Paradise_Boutique_Hotel-Cairo_Cairo_Governorate.html,"18 B 26 of July St, Cairo 11511 Egypt","Paradise Boutique Hotel is 2 star Hotel. located in Downtown Cairo.just a short 10 minutes walk from Tahrir Square. at the most vivid spot in Cairo, where you are surrounded by the most important squares, shops, restaurants, ATM's and Banks. Paradise Boutique Hotel Guests enjoy free WiFi connection throughout the hotel. Welcome to our Hotel"
28. Golden Tulip Flamenco Hotel Flamenco Cairo,3.5 of 5 bubbles,457 reviews,"EGP 4,114EGP 2,027","Smoking rooms available,Suites,Non-smoking rooms,Landmark view,City view,Hair dryer,Complimentary toiletries,Flatscreen TV,Safe,Room service,Air conditioning,Ironing service,Laundry service,Dry cleaning,First aid kit,Doorperson,Gift shop,Photo copier / fax In business centre,Meeting rooms,Banquet room,Wine / champagne,Special diet menus,Snack bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,24-hour front desk,24-hour check-in,Concierge,24-hour security,Conference facilities,Business Centre with Internet Access,Bar / lounge,Free wifi in the business centre,",https://www.tripadvisor.in/Hotel_Review-g294201-d301551-Reviews-Golden_Tulip_Flamenco_Hotel_Flamenco_Cairo-Cairo_Cairo_Governorate.html,"2 El Gezira El Wosta Street Zamalek, Cairo 11511 Egypt","Golden Tulip Flamenco is an excellent choice for travellers visiting Cairo, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.The rooms offer a flat screen TV and air conditioning, allowing you to rest and refresh with ease.Cairo Golden Tulip features room service and a concierge. In addition, as a valued Golden Tulip Flamenco guest, you can enjoy free breakfast that is available on-site.Close to some of Cairo's most popular landmarks, such as Cairo Tower (1.5 mi) and Zamalek (Gezira Island) (1.6 mi), Golden Tulip Flamenco is a great destination for tourists.Travellers looking to enjoy some shrimp can head to Kadoura Fish Restaurant, Birdcage, or Abou el-Sid. Otherwise, you may want to check out a French restaurant such as The Revolving Restaurant, Le Deck, or The Grill Restaurant & Lounge.Cairo is also home to Egyptian Geology Museum, a popular science museum that is not too far from Cairo Golden Tulip.Enjoy your stay in Cairo!"
29. Tolip Golden Plaza Hotel,3.5 of 5 bubbles,98 reviews,"EGP 2,874","Smoking rooms available,Suites,Non-smoking rooms,Pool view,City view,Hair dryer,Flatscreen TV,Electric kettle,Minibar,Private bathrooms,Laptop safe,Iron,Clothes rack,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Seating area,Safe,Room service,Interconnected rooms available,Housekeeping,Bathrobes,Walk-in shower,Extra long beds,Cable / satellite TV,Coffee / tea maker,Fireplace,Air conditioning,Soundproof rooms,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,ATM on site,Currency exchange,Concierge,Baggage storage,BBQ facilities,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Airport transportation,Outdoor dining area,Kids' meals,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness / spa changing rooms,Heated pool,Outdoor pool,Pool / beach towels,Wifi,Paid private parking on-site,Kids pool,Children Activities (Kid / Family Friendly),Evening entertainment,Coffee shop,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d12901747-Reviews-Tolip_Golden_Plaza_Hotel-Cairo_Cairo_Governorate.html,"Omar Ibn El Khattab Street, Masaken Al Mohandesin City Stars Area, Cairo 02544 Egypt","Tolip Golden Plaza Hotel is conveniently located in the heart of Heliopolis, the notorious elegant residential and commercial area. The hotel is set 8km from Cairo International Airport, 12 km from the down town Cairo and just few minutes away from The Cairo International Convention Centre. The hotel also enjoys easy access to some of Egypt best shopping malls; it is at a 2-minute walk from City Stars Mall and at a 10-minute drive from Cairo Festival City Mall."
30. The St. Regis Cairo,5 of 5 bubbles,498 reviews,"EGP 19,446","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,Landmark view,City view,Hair dryer,Complimentary toiletries,Bath / shower,Whirlpool bathtub,Walk-in shower,iPod docking station,Radio,On-demand films,Flatscreen TV,Kitchenware,Electric kettle,Stovetop,Refrigerator,Oven,Minibar,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Iron,Clothes rack,Bottled water,Wardrobe / wardrobe,Telephone,Sofa,Separate living room,Separate dining area,Seating area,Safe,Room service,Private balcony,Interconnected rooms available,Housekeeping,Dining area,Bathrobes,Bidet,Cable / satellite TV,Coffee / tea maker,Desk,Additional bathroom,Air conditioning,Air purifier,Blackout curtains,Shoeshine,Ironing service,Washing machine,Laundry service,Dry cleaning,Clothes dryer,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,Umbrella,First aid kit,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun terrace,Sun loungers / beach chairs,Sun deck,Newspaper,Gift shop,Currency exchange,Concierge,Baggage storage,BBQ facilities,24-hour security,Waxing services,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Makeup services,Light therapy,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Foot bath,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Car hire,Airport transportation,Highchairs available,Kids pool,Kids club,Children Activities (Kid / Family Friendly),Indoor play area for children,Children's television networks,Books, DVDs, music for children,Poolside bar,Wine / champagne,Special diet menus,Snack bar,Outdoor dining area,Kids' meals,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Personal trainer,Fitness classes,Fitness / spa changing rooms,Plunge pool,Heated pool,Outdoor pool,Indoor pool,Pool / beach towels,Hot bath,Paid wifi,Public wifi,Car park,Babysitting,Video game console,Board games / puzzles,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Paid private parking on-site,",https://www.tripadvisor.in/Hotel_Review-g294201-d12527818-Reviews-The_St_Regis_Cairo-Cairo_Cairo_Governorate.html,"1189 Nile Corniche Downtown, Cairo 11221 Egypt","Uncompromising standards combine with thoughtfully curated amenities in 233 spacious guest rooms, 50 exclusive suites, and 79 luxury apartments. Exquisite local heritage is reflected in outstanding views of the river and authentic Old Cairo, as well as in each sanctuary’s interior."
"Holiday Inn Cairo - Citystars, an IHG Hotel",4.5 of 5 bubbles,"1,087 reviews","EGP 3,727","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Flatscreen TV,Minibar,Safe,Room service,Housekeeping,Air conditioning,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,ATM on site,Shops,Currency exchange,Concierge,Baggage storage,BBQ facilities,24-hour security,Salon,Meeting rooms,Banquet room,Conference facilities,Taxi service,Car hire,Poolside bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Fitness / spa changing rooms,Heated pool,Outdoor pool,Rooftop pool,Wifi,Valet parking,Business Centre with Internet Access,Airport transportation,Kids stay free,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Free parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d817571-Reviews-Holiday_Inn_Cairo_Citystars_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Ali Rashed Street Heliopolis, Cairo 11757 Egypt","A modern, family-friendly hotel in Cairo's dynamic Citystars Heliopolis In the heart of Citystars business and leisure complex and just 10 minutes from Cairo International Airport, the Holiday Inn® Cairo Citystars hotel is an ideal base for exploring the modern and historic attractions of Egypt's capital. Next to the hotel, Stars Centre Mall is home to over 640 of shops and high-tech amusements including Snow City and Magic Galaxy, Egypt's largest indoor theme park. Downtown Cairo is less than half an hour away. The hotel's family-friendly atmosphere makes everyone feel at home, from the rooftop garden with its adults' and children's swimming pools, to the Star Corner Café in the lobby. Open 24-hours, Windows Restaurant tempts diners with heaped international buffets and live cooking stations, and Indira Restaurant serves some of the best Indian food in Cairo. Business travelers appreciate the fast, free Wi-Fi, business center and 24-hour room service. Need to hold a meeting?"
